,City,City_Id,Latitude,Temperature,Cloud_Index,Humidity,Wind
115,shenjiamen,1795632,29.96,49.83,12,95,10.63
116,elbistan,315795,38.2,25.35,80,84,2.8
117,port hardy,6111862,50.7,35.6,90,93,8.05
118,hurricane,5540831,37.18,33.08,90,95,5.82
119,novobirilyussy,1508260,56.95,7.62,88,76,9.84
120,talcahuano,3870282,-36.72,68.0,0,60,6.93
121,san quintin,1688687,17.54,64.59,0,79,3.36
122,kazachinskoye,1504075,57.69,3.17,56,84,7.16
123,dryden,5942913,49.79,10.4,90,78,13.87
124,yar-sale,1486321,66.83,0.87,76,92,19.35
125,dakar,2253354,14.69,89.6,0,50,6.93
126,khovu-aksy,1503527,51.13,-31.98,0,0,2.24
127,carnarvon,1014034,-30.97,78.63,0,13,12.64
128,fortuna,2517679,38.18,57.2,0,33,2.8
129,butaritari,2110227,3.07,83.22,76,100,16.67
130,ashqelon,295620,31.67,55.4,75,71,36.91
131,shingu,1847947,33.72,45.96,0,100,16.11
132,biak,1637001,-0.91,77.91,36,100,2.46
133,pangoa,3933104,-12.12,79.94,8,70,2.91
134,poum,787487,41.28,26.6,20,53,6.93
135,vrangel,2013258,42.73,20.31,0,100,12.41
136,chapleau,5919915,47.85,3.2,75,77,8.05
137,yumen,1528998,40.29,6.32,68,68,2.68
138,atar,2381334,20.52,76.02,8,13,6.26
139,sindor,492860,62.87,-3.59,68,76,7.61
140,akdagmadeni,324768,39.66,28.41,76,94,10.4
141,dunedin,2191562,-45.87,43.08,0,85,2.68
142,westport,2960970,53.8,48.2,90,100,11.41
143,sfantu gheorghe,667306,44.65,32.0,75,92,2.24
144,nong bua,1608286,15.87,77.64,8,65,5.82
145,kaitangata,2208248,-46.28,52.85,24,79,12.08
146,raton,5486795,36.9,59.0,1,44,13.87
147,nanortalik,3421765,60.14,28.77,88,100,14.2
148,ribeira grande,3372707,38.52,62.6,75,93,23.04
149,vardo,4372777,39.62,53.6,20,45,17.22
150,chengde,2038087,40.97,-0.12,8,52,4.59
151,ilulissat,3423146,69.22,12.2,20,43,18.34
152,taft,1684659,11.9,77.15,92,93,12.64
153,rosario oeste,3450872,-14.84,85.79,64,82,7.83
154,silopi,300797,37.25,46.4,75,100,16.11
155,anqiu,1817990,36.48,15.81,8,75,3.58
156,billings,5640350,45.79,42.08,75,50,16.11
157,barrow,3833859,-38.31,78.54,12,84,9.73
158,mar del plata,3863379,-46.43,69.05,12,31,19.46
159,narsaq,3421719,60.91,17.84,88,90,3.58
160,cidreira,3466165,-30.17,83.72,48,73,15.55
161,pabrade,596473,55.0,19.4,90,92,8.05
162,kruisfontein,986717,-34.0,66.3,8,81,7.72
163,leningradskiy,2123814,69.38,-15.33,0,93,1.79
164,kikwit,2314705,-5.04,75.35,44,79,6.93
